session_id,probe,behavior,side,behavior_pass,pass_ephys_qc,Notes,raw_data,sorted_old,sorted type,sorted,,sorted_opto_curation,sorted_curated,sorted_opto_bandpass,sorted_opto_highpass_curation,model_stan
behavior_808650_2025-09-26_11-51-57,2,1,1,1,1,,f5d0db47-4939-4544-8ce4-9d9629d843f6,9f6a789d-31e7-49c2-a916-a9012a32b6e2,"ecephys_ks25_opto, bandpass",854a43de-7d82-4b0b-ae6d-4407e07dc5d6,,,,,,
behavior_814511_2025-10-16_13-44-32,2,1,1,1,1,,dab12349-5708-4cdc-ab37-ca4420486ea8,1779e011-0d80-4e5d-a122-eacc49b2b828,"ecephys_ks25_opto, bandpass",53e55fec-468c-45c2-9ac8-6cf9993aa03f,,,,,,
behavior_814515_2025-10-22_13-03-21,2,1,-1,1,1,,03e8314a-7b82-45df-a6d0-05b1b2654686,dd4851aa-4d90-4222-ad79-9d42ea92e0b5,"ecephys_ks25_opto, bandpass",e496c1a2-b223-48ec-9f6f-0f3d04f0ce03,,,,,,
behavior_814515_2025-10-23_14-41-04,2,1,1,1,1,,9242811b-f55c-4304-82a4-1d0f48bae080,No auto sorting,"ecephys_ks4_opto, bandpass",717f10b7-a534-4603-9d15-029837d8babc,,,,,,
behavior_814515_2025-10-24_13-22-07,2,1,1,1,1,,1cfd4571-b294-4795-99cc-cf174dd00c73,7ffcbb37-9ef8-4543-80fe-ba8fccd9d522,"ecephys_ks25_opto, bandpass",55016315-91ca-44fb-ab33-d6bdd16b4b91,,,,,,
behavior_810888_2025-10-28_11-51-06,2,1,1,1,1,,2d2688b9-f17e-4db4-9643-72d869833421,c2a7e192-8082-4ee5-8fa6-86a52aa1710e,"ecephys_ks25_opto, bandpass",d7076686-24b3-48de-840e-33a2f5b019b9,,,,,,
behavior_810888_2025-10-31_12-39-56,2,1,-1,1,1,,f9da102d-4d0d-4f1f-b52c-2d6102081fc5,fd84f2c4-a608-41a9-8b64-0ea1180a9fe2,"ecephys_ks4_opto, bandpass",cc41e9d7-3fc1-4b11-9f67-7dcfecd045b8,,,,,,
behavior_826160_2025-12-19_11-14-24,2,1,-1,1,1,,1e022ca8-0177-4c40-9350-9942ee8444e3,ea737c11-f847-4762-8ab1-7296f60e4244,"ecephys_ks25_opto, bandpass",98f6c3be-1003-429a-84d5-d98ffe8ae120,,,,,,
behavior_826159_2026-01-22_12-58-47,2,1,-1,1,1,,a32ef616-5332-4710-9993-af50f8399b29,4ccbeec9-e45b-4203-9df4-43b1d70b16e1,"ecephys_ks25_opto, bandpass",8c27d8ee-f522-4b20-8697-6dac765cd3ae,,,,,,
behavior_826159_2026-01-23_13-34-11,2,1,-1,1,1,,e5879cbd-1fce-4f01-8279-d3f7584f9376,3b263697-dee3-4c08-994c-75bb85e4acdb,"ecephys_ks25_opto, bandpass",8637b55f-f371-4b68-b5c2-1f250fd9212d,,,,,,
behavior_826159_2026-01-26_15-15-12,2,1,1,1,1,,287cb5be-6701-4e4f-b7fd-189458f7d444,fe6a1b8e-6227-4d80-bdfa-1ea694b447bc,"ecephys_ks25_opto, bandpass",a4e04b44-c442-4cce-a0ad-0aa09e74f9a6,,,,,,
behavior_826159_2026-01-27_08-55-48,2,1,1,1,1,,9f0433a5-fa80-43a7-8b6c-339f2ead23c9,dca4bbd5-c7a7-409b-9bb1-32c37e7e1154,"ecephys_ks25_opto, bandpass",ba36b42d-7c4d-443c-9738-b35471333fab,,,,,,
behavior_826164_2026-01-27_11-14-13,2,1,1,1,1,,e05585eb-795f-4d10-a444-4992b3748eec,b48a601f-96c2-4741-b42a-5f86b85ec94b,"ecephys_ks25_opto, bandpass",4a371f02-f3f8-4f26-a12a-e3b71cfbfe02,,,,,,
behavior_826164_2026-01-28_11-12-55,2,1,1,1,1,,c5226a2c-77be-466b-9162-e88851f3a55f,db24b86b-5b4d-485f-919b-2114073dc96e,"ecephys_ks25_opto, bandpass",e06096a8-ddc9-4e7a-a3b1-9b5f0e5c0947,,,,,,
behavior_826164_2026-01-29_11-09-03,2,1,-1,1,1,,a2539692-98d7-4c57-82b4-be12aceed2b2,651c51ec-0c18-4214-b352-895f6af6e250,"ecephys_ks25_opto, bandpass",0fc0d133-4681-4c5a-9aa1-246e534b4b3b,,,,,,
behavior_826164_2026-01-30_11-12-30,2,1,-1,1,1,,89831469-ca46-4dac-9682-59ccc023041e,f08dc226-4d6b-494a-beb7-519c80b045dd,"ecephys_ks25_opto, bandpass",74e635d4-5133-4abe-98ac-4815ddf1c1a3,,,,,,
behavior_835444_2026-02-17_13-56-45,2,1,-1,1,1,,a6d10c9e-49cd-450a-8966-88dff1bc1642,No auto sorting,"ecephys_ks25_opto, bandpass",9a7cd9fa-76c3-406e-ac30-2bb959e7ecf1,,,,,,
behavior_835444_2026-02-18_13-01-55,2,1,-1,1,1,,65a08988-bd70-4633-bec1-d030b969b133,No auto sorting,"ecephys_ks25_opto, bandpass",1b90570b-a51e-4dfa-8820-b99abeda618b,,,,,,
behavior_835444_2026-02-19_13-08-36,2,1,1,1,1,,fe788729-4741-47a1-9ce9-c67dfe074dbe,No auto sorting,"ecephys_ks25_opto, bandpass",df5ba35f-f636-48a4-9a7a-0b36230c2b6d,,,,,,
behavior_835444_2026-02-20_12-12-35,2,1,1,1,1,,ee877a57-ea02-4b0f-a937-586f78f99dea,No auto sorting,"ecephys_ks25_opto, bandpass",4ff4011b-e5d1-4597-9bc9-768cd803cecc,,,,,,
behavior_835451_2026-02-25_13-19-37,2,1,1,1,1,,af17d75f-49af-4d11-9b37-81818d3d7cd0,No auto sorting,"ecephys_ks4_opto, bandpass",ad6291e5-c8ec-41ac-a8aa-4d45a7fa9148,,,,,,
behavior_835451_2026-02-27_14-19-03,2,1,-1,1,1,,7eb9284c-815f-47c3-af77-a3157855a8ae,ba650505-66c8-4d40-b0d8-a34898005320,"ecephys_ks25, bandpass",e86aa11d-4fde-4cb5-a010-3cf373737fc6,,,,,,
behavior_838332_2026-03-10_13-23-52,2,1,1,1,1,,b24e4934-aab6-463b-a306-5e9bf1e6bb73,b9417a6a-f4ab-4c31-a2bb-94f9122bb647,"ecephys_ks25_opto, bandpass",44077333-2c2c-44f0-a89e-d758546c0a13,,,,,,
behavior_838332_2026-03-11_13-01-00,2,1,1,1,1,,34af914e-8392-4ea5-8010-eb1decaf09e4,b2da6f55-e05d-43f8-af97-3c1f8a49c46c,"ecephys_ks25_opto, bandpass",63bbb18d-b79b-4b78-a14c-b2c7f239e505,,,,,,
behavior_838332_2026-03-12_13-31-08,2,1,-1,1,1,,10ace8cb-6764-4a51-a0c3-78b7bff1e052,No auto sorting,"ecephys_ks25_opto, bandpass",5a4ce9c2-ab22-4d1a-b5a9-de70a1b7f287,,,,,,
behavior_838332_2026-03-13_12-29-22,2,1,-1,1,1,,52a76fa9-3e9e-41cc-9143-44060b441c9a,a7f276ce-f9e4-4c08-86ed-91d4b3e46dc0,"ecephys_ks25_opto, bandpass",f433404e-5483-46ff-a60c-30aa0d43cce4,,,,,,
behavior_841596_2026-03-24_13-06-50,2,1,-1,1,1,,1ae8ab3f-372d-4e04-bf1e-ddd5e4620f02,b4a552e2-b2e8-47d1-bf85-f79242277f48,"ecephys_ks25_opto, bandpass",15d40655-1b2a-4ed0-bc09-611d335a5b6f,,,,,,
behavior_841596_2026-03-25_14-10-54,2,1,-1,1,1,,7343c101-e26f-4c68-9f62-814725514a53,No auto sorting,"ecephys_ks25_opto, bandpass",51258eab-9630-4128-af7a-0c9db7a8e230,,,,,,
behavior_841596_2026-03-26_14-49-42,2,1,1,1,1,,a62b9efe-42ee-49c9-9017-cd4a4a42ebb7,428e0513-98e7-44c8-94fb-0f6d037e5f59,"ecephys_ks25_opto, bandpass",a52420df-4c60-45af-b0a0-b13d803cd868,,,,,,
behavior_841596_2026-03-27_13-57-43,2,1,1,1,1,,d7973a10-351f-4ace-a97d-db37b1d6c898,c6e0dccc-862d-4916-8dc1-2cb5d9f73d46,"ecephys_ks25_opto, bandpass",aee30745-b3ab-4250-82a6-58fdad6d356b,,,,,,
behavior_841861_2026-04-02_13-12-47,2,1,-1,1,1,,69778314-7781-4896-872f-b9dede3b1dce,ad759ff8-9f91-40a5-b7ed-60db2e471050,"ecephys_ks25_opto, bandpass",5e7f2411-9bee-4612-bfb4-ddde5ad3e52e,,,,,,
behavior_841861_2026-04-03_13-18-22,2,1,-1,1,1,,f1108766-35d5-4fa4-b475-1c92accb69f6,bdd78ef1-6c91-425f-9661-51e2e16b5a59,"ecephys_ks25_opto, bandpass",ec98de3c-e502-474d-9197-83c36cf10df7,,,,,,
behavior_841859_2026-04-07_08-53-01,2,1,-1,1,1,,37395e05-0c86-47fb-a89e-82ba558a8a04,No auto sorting,"ecephys_ks4_opto, bandpass",7d651d79-5986-4e03-9274-eaa57e0b908b,,,,,,
behavior_841859_2026-04-08_11-03-18,2,1,-1,1,1,,1b325ad2-c87c-4baf-b8e6-fdef8a223c21,10ed489d-238f-4613-8435-456be62bf4ee,"ecephys_ks25_opto, bandpass",e7582bf7-cd88-4ebc-90c9-605b9ceda77e,,,,,,
behavior_841859_2026-04-09_09-36-29,2,1,1,1,1,,c1fbfafa-1102-43a1-a326-b2c660229445,9fd08553-7502-43b1-a3c2-629bf9cd86a1,"ecephys_ks25_opto, bandpass",c872aa1c-0018-4ba5-a5bb-a003aa4731e8,,,,,,
behavior_841859_2026-04-10_11-47-55,2,1,1,1,1,,a7b2aaca-b88b-4c73-883b-aa001410e1b7,82653f2e-011b-44c3-812f-29ae47b5981d,"ecephys_ks25_opto, bandpass",b6195450-de71-4731-b34b-e633fa25c2ec,,,,,,
behavior_843661_2026-04-28_09-49-53,2,1,1,1,1,,7852208b-f155-4c1a-9d83-3360fa5dff1c,39e1414c-a7ad-4ea7-8753-29fe18db0529,"ecephys_ks25_opto, bandpass",1a1e09cd-a9e5-4d99-b516-7ad46dcdf1b5,,,,,,
behavior_843661_2026-04-29_08-19-05,2,1,1,1,1,,ff47ca42-a96c-4da1-86f0-df079857b221,48e4d9d4-3c39-4795-9d20-efd5a1a0a7f0,"ecephys_ks25_opto, bandpass",6ce9c6d3-b7e1-408c-8b23-e48f52b2fa3e,,,,,,
behavior_843661_2026-04-30_08-46-20,2,1,-1,1,1,,8b77e45a-d3b5-408d-a327-e7b46e59c651,030e0c5c-30b3-4d69-bac3-72ed537bf095,"ecephys_ks25_opto, bandpass",437df00f-bdc8-4c67-b573-b85b0c931e29,,,,,,
behavior_843661_2026-05-01_09-00-46,2,1,-1,1,1,,d98a65f1-b106-42c5-b022-3cb1ed3d419a,178a343f-c954-4bc9-93d0-c7961844aa67,"ecephys_ks25_opto, bandpass",ffa21193-63ae-4557-985c-248d809ba10f,,,,,,
behavior_841598_2026-04-28_12-23-33,2,1,1,1,1,,0c638051-cc6d-41c8-9397-bd4808590d35,93328f35-6e2b-4d51-8d08-25053419f0eb,"ecephys_ks25_opto, bandpass",fd2bfee4-49f6-4248-a11a-275efd6e69e7,,,,,,
behavior_841598_2026-04-29_12-52-23,2,1,1,1,1,,fd84bab0-8f30-4cb1-a6fa-e56653476dce,No auto sorting,"ecephys_ks25_opto, bandpass",18ea8eff-1471-4b56-a1eb-1bc62f499e6e,,,,,,
behavior_841598_2026-04-30_13-45-07,2,1,-1,1,1,,0e8844f1-8d31-4e22-8cf7-bf7ff9d4e50c,406bbf20-040e-45f3-a493-af759c783dee,"ecephys_ks25_opto, bandpass",9655cda6-623f-4c1f-a6ef-df2881950e98,,,,,,
behavior_841598_2026-05-01_14-15-09,2,1,-1,1,1,,990322af-95a3-4cc1-a034-f7be4c899bb6,No auto sorting,"ecephys_ks25_opto, bandpass",d9406637-c68f-47ee-8286-7ce96c42d876,,,,,,
behavior_843660_2026-05-05_10-15-53,2,1,-1,1,1,,3ac30550-a90f-4e3c-b3a1-77cf28e6053c,01fc7fec-2927-4a32-83b5-3bc3503566a1,"ecephys_ks25_opto, bandpass",0228c9fc-849d-4037-aa34-05203359956a,,,,,,
behavior_843660_2026-05-06_09-15-58,2,1,-1,1,1,,c99a01d7-11fd-4c55-bc58-e7af68d9988d,bd56f781-d254-4fb8-b2e3-6bfcc582ae2a,"ecephys_ks25_opto, bandpass",2b5f88d9-4d19-4fd9-94cf-a3ea5a65081c,,,,,,
behavior_843660_2026-05-07_09-11-04,2,1,1,1,1,,8fe17a83-df65-412d-ad1f-11d281282087,d05322f1-2f24-421a-92ca-eb12e4e3a1d5,"ecephys_ks25_opto, bandpass",b28e0109-581a-485f-b9aa-faef9f28ebba,,,,,,
behavior_843660_2026-05-08_08-35-38,2,1,1,1,1,,ede83a32-fe89-4082-a9b3-7d8b7e8056b7,c3e991d4-b8d3-41d8-b31f-f39686263b92,"ecephys_ks25_opto, bandpass",64dce79d-1db6-45fe-bc43-f2f3b1dffd42,,,,,,
behavior_848869_2026-05-12_08-51-54,2,1,1,1,1,,7d42e796-5ec0-4956-b63c-18083a82a3ef,880c65bf-594b-4616-a3e9-6e4e0abb0d6c,"ecephys_ks25_opto, bandpass",410d7fcc-4dad-486c-a294-41224e871524,,,,,,
behavior_848869_2026-05-14_08-45-55,2,1,-1,1,1,,6cc0e45d-718b-4ff0-b9dd-4363cfb7945a,821bcec2-45ba-47b7-a311-290d24f63e13,"ecephys_ks25_opto, bandpass",6432575b-4f95-4d48-bcee-7696785eb30d,,,,,,
behavior_848869_2026-05-15_08-59-55,2,1,-1,1,1,,9838018a-dc4e-4705-a822-d0ac72afcfad,adf4affd-be2b-43b6-8941-f6a6aaeecbfc,"ecephys_ks25_opto, bandpass",4e5766bb-66e9-4d03-93f7-d8672a422315,,,,,,
behavior_841599_2026-05-12_13-01-54,2,1,1,1,1,,ee4857eb-4e98-475e-ab49-6a5f65daf223,No auto sorting,"ecephys_ks25_opto, bandpass",ef74b773-67f3-42b5-8543-da23264256cf,,,,,,
